category,term,hebrew_term,wikipedia_en,wikipedia_he,wikidata_id,father,student_of,student,date_of_birth,place_of_birth,date_of_death,place_of_death
Biblical,Amasa,עמשא בן יתר,https://en.wikipedia.org/wiki/Amasa,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%A9%D7%90_%D7%91%D7%9F_%D7%99%D7%AA%D7%A8,Q2689456,Jether / יתר הישמעאלי,,,11c BCE,Kingdom of Israel / ממלכת ישראל המאוחדת,10c BCE,Kingdom of Israel / ממלכת ישראל המאוחדת
Biblical,Amasai,עמשי,https://en.wikipedia.org/wiki/Amasai,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%A9%D7%99,Q4740392,,,,,,,
Biblical,Amashsai,Amashsai,https://en.wikipedia.org/wiki/Amashsai,,Q4740397,,,,,,,
Biblical,Amasla,אמתלאי בת כרנבו,https://en.wikipedia.org/wiki/Amathlai,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%AA%D7%9C%D7%90%D7%99_%D7%91%D7%AA_%D7%9B%D7%A8%D7%A0%D7%91%D7%95,Q33205630,Karnivo / כרנבו,,,,,,
Biblical,Amaziah,אמציה כהן בית אל,https://en.wikipedia.org/wiki/Amaziah_%28Book_of_Amos%29,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%A6%D7%99%D7%94_%D7%9B%D7%94%D7%9F_%D7%91%D7%99%D7%AA_%D7%90%D7%9C,Q11957664,,,,,,,
Biblical,Amaziah,אמציה,https://en.wikipedia.org/wiki/Amaziah,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%A6%D7%99%D7%94_%28%D7%A4%D7%99%D7%A8%D7%95%D7%A9%D7%95%D7%A0%D7%99%D7%9D%29,Q4740764,,,,,,,
Biblical; Biblical kings,Amaziah,אמציהו,https://en.wikipedia.org/wiki/Amaziah_of_Judah,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%A6%D7%99%D7%94%D7%95,Q313237,Jehoash / יהואש,,,822 BCE,Jerusalem / ירושלים,767 BCE,Lachish / תל לכיש
Biblical,Amittai,אמיתי,https://en.wikipedia.org/wiki/Amittai,,Q4746955,,,,,,,
Biblical,Ammihud,עמיהוד,https://en.wikipedia.org/wiki/Ammihud,,Q4747242,,,,,,,
Biblical,Amminadab,עמינדב,https://en.wikipedia.org/wiki/Amminadab,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%99%D7%A0%D7%93%D7%91_%28%D7%93%D7%9E%D7%95%D7%AA_%D7%9E%D7%A7%D7%A8%D7%90%D7%99%D7%AA%29,Q2038223,Ram / רם‎; Admin,,,,,,
Biblical,Amnon,אמנון,https://en.wikipedia.org/wiki/Amnon,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%A0%D7%95%D7%9F_%28%D7%93%D7%9E%D7%95%D7%AA_%D7%9E%D7%A7%D7%A8%D7%90%D7%99%D7%AA%29,Q361636,David / דוד,,,11c BCE,Hebron / חברון,10c BCE,Jerusalem / ירושלים
Biblical; Biblical kings,Amon,אמון,https://en.wikipedia.org/wiki/Amon_of_Judah,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%95%D7%9F_%28%D7%9E%D7%9C%D7%9A_%D7%99%D7%94%D7%95%D7%93%D7%94%29,Q313423,Manasseh / מנשה,,,664 BCE,Kingdom of Judah / ממלכת יהודה,640 BCE,Jerusalem / ירושלים
Amoraim,Amoraim,אמוראים,https://en.wikipedia.org/wiki/Amoraim,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%95%D7%A8%D7%90%D7%99%D7%9D,Q474035,,,,,,,
Amoraim,Amoraim of Babylon,אמוראי בבל,,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%95%D7%A8%D7%90%D7%99_%D7%91%D7%91%D7%9C,Q55649849,,,,,,,
Biblical,Amos,עָמוֹס,https://en.wikipedia.org/wiki/Amos_%28prophet%29,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%95%D7%A1,Q213850,,Hosea / הושע בן בארי,Isaiah / ישעיהו,814 BCE,Teqoa / תקוע (יישוב מקראי),740 BCE,
Biblical,Amoz,אמוץ,https://en.wikipedia.org/wiki/Amoz,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%95%D7%A5,Q4748020,Jehoash / יהואש,,,,,,
Biblical,Amram,עמרם,https://en.wikipedia.org/wiki/Amram,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%A8%D7%9D,Q477527,Kohath / קהת,,,,,,
